cell	feat	dist	cell_x	cell_y	x	y
0	SPTAN1	0	475.5	630.6	37441.9199712	27572.1698879
0	GTF3C1	0	475.5	630.6	37712.9980953	19507.213219999998
0	MYH10	1	475.5	630.6	5426.91221177	36216.6648689
0	DOCK7	1	475.5	630.6	8765.51914286	38091.102778600005
0	blank004	1	475.5	630.6	10784.03468266	39591.5321309
0	MYH10	1	475.5	630.6	12191.2628914	19896.1781638
0	FBN1	0	475.5	630.6	12600.50910678	33361.715584
0	TEAD1	1	475.5	630.6	13295.86433136	7396.93300066
0	H6PD	1	475.5	630.6	14531.97292064	35248.70651630001
0	TEAD1	1	475.5	630.6	15760.38317398	33350.559984
0	blank004	1	475.5	630.6	17034.498595200002	35039.2812351
0	DIP2C	1	475.5	630.6	17428.2177785	16818.6144387
0	FBN1	1	475.5	630.6	17535.7534205	37284.5014793
0	blank004	1	475.5	630.6	19160.7913926	34590.6471078
0	FBN1	1	475.5	630.6	22281.781847799997	26318.9657324
0	ITGA2	1	475.5	630.6	23563.4920683	29084.0028686
0	GTF3C1	1	475.5	630.6	24005.9127936	22990.4004395
0	MAN1A2	1	475.5	630.6	24478.613975599998	6263.92636537
0	FBN2	1	475.5	630.6	25432.6191442	23546.922712400003
0	ZKSCAN2	1	475.5	630.6	27751.5983953	36934.859658099995
0	STARD9	1	475.5	630.6	29872.050250800003	9594.18240468
0	MYH10	1	475.5	630.6	32685.053327399997	10442.97250984
0	PRKCA	1	475.5	630.6	32733.5688481	27500.714462299995
0	MYH10	1	475.5	630.6	33834.439695099994	33585.8483214
0	PRKCA	1	475.5	630.6	34539.804225	23260.8996915
0	SPTAN1	1	475.5	630.6	35031.216972099995	20126.735808700003
0	SPTAN1	1	475.5	630.6	36098.0325946	5395.5631872
0	PRKCA	1	475.5	630.6	36323.1480936	15703.41878427
0	GTF3C1	1	475.5	630.6	36689.3830515	36092.3076008
0	SPTAN1	1	475.5	630.6	37339.088552199995	6034.53410158
0	NKTR	1	475.5	630.6	38829.1877688	10093.90171341
0	SPTAN1	1	475.5	630.6	39453.4654487	17189.1686178
0	SRRM2	1	475.5	630.6	39577.72079669999	12694.11374739
0	FBN1	1	475.5	630.6	2219.81530574	29439.409596599995
0	FBN1	1	475.5	630.6	9346.82499398	35514.5442305
0	MYH10	1	475.5	630.6	10707.77310895	15221.93558496
0	CEP250	1	475.5	630.6	12431.73735368	35034.916139
0	GTF3C1	0	475.5	630.6	12781.79282386	38493.327355400004
0	CBX5	1	475.5	630.6	13277.51079255	4785.28276093
0	TEAD1	1	475.5	630.6	15361.56305417	23191.5023906
0	MYH10	1	475.5	630.6	15509.35756152	27860.296875
0	H6PD	1	475.5	630.6	16426.62040214	8566.511659
0	SRRM2	1	475.5	630.6	20773.3494714	34092.5902991
0	notarget003	0	475.5	630.6	21249.429698	7403.89276741
0	STARD9	1	475.5	630.6	21364.6438664	36716.0909273
0	MYH10	1	475.5	630.6	23188.4892096	32700.795549000002
0	SPTAN1	1	475.5	630.6	23469.859510299997	37155.924355
0	MYH10	1	475.5	630.6	24067.506602	17487.1436283
0	DOCK7	1	475.5	630.6	24746.2074276	34313.0221829
0	SRRM2	1	475.5	630.6	25025.4801916	29044.7594551
0	DIP2C	1	475.5	630.6	26120.321971200003	20568.9972661
0	H6PD	1	475.5	630.6	28826.5249907	13815.24759951
0	FBN1	1	475.5	630.6	28936.552790400005	23133.589045099998
0	SPTAN1	0	475.5	630.6	31988.675952599995	20349.8116866
0	SPTAN1	1	475.5	630.6	34325.112632200005	18147.6391159
0	CBX5	1	475.5	630.6	35840.0722537	14571.92387974
0	SPTAN1	0	475.5	630.6	36704.9454475	17518.0151648
0	ITGA2	1	475.5	630.6	4787.99565756	24120.395719099997
0	blank004	1	475.5	630.6	7155.32160906	38698.0233636
0	CENPF	1	475.5	630.6	12229.47630401	9656.79576812
0	CBX5	1	475.5	630.6	15242.62838796	5196.56311313
0	ABCA2	1	475.5	630.6	26240.433063900004	27249.4330192
0	STARD9	1	475.5	630.6	1638.783323598	6273.48048213
0	ZKSCAN2	1	475.5	630.6	1587.8664818420002	7293.221812299999
0	H6PD	1	475.5	630.6	10083.32108773	19535.6537709
0	SPTBN1	1	475.5	630.6	13038.01951772	28971.0964231
0	PAPPA	1	475.5	630.6	14983.20920019	32494.9240111
0	PRRC2B	1	475.5	630.6	16533.3278711	22496.5354477
0	FLNC	0	475.5	630.6	16980.0000824	14902.76876043
0	SPTBN1	1	475.5	630.6	17979.1563897	28784.6012105
0	ZC3H13	1	475.5	630.6	19175.3502188	2103.57474198
0	COL7A1	1	475.5	630.6	19784.697029900002	9737.89042036
0	PRRC2B	1	475.5	630.6	19930.513697799997	12414.39800587
0	FLNC	1	475.5	630.6	19979.3086763	17572.7429352
0	C17orf51	1	475.5	630.6	28553.247326300003	17717.091823400002
0	SPTAN1	1	475.5	630.6	29845.6090907	12636.44672856
0	FLNC	1	475.5	630.6	33266.2202579	14698.07424855
0	FLNC	0	475.5	630.6	34846.1065736	12004.17582078
0	FLNC	1	475.5	630.6	36489.1177704	5172.17208344
0	EGFR	1	475.5	630.6	36181.7551388	17925.5105455
0	SPTAN1	1	475.5	630.6	37429.811051699995	27620.319311199997
0	FLNC	1	475.5	630.6	2678.48473692	33647.5780511
0	ZC3H13	1	475.5	630.6	5431.05157898	18051.374253799997
0	SPTAN1	1	475.5	630.6	5747.152896399999	33670.5629625
0	FLNC	1	475.5	630.6	8756.53098409	23668.4743972
0	SPTAN1	1	475.5	630.6	12160.73948978	13320.18324711
0	FLNC	1	475.5	630.6	12140.88547434	16635.40522832
0	SPTBN1	1	475.5	630.6	17203.132439700003	4665.79693627
0	SPTBN1	1	475.5	630.6	19080.905623299997	3356.15410873
0	PRRC2B	1	475.5	630.6	25607.0981724	9254.75979778
0	NF1	1	475.5	630.6	26469.1525899	29835.6251794
0	SPTAN1	1	475.5	630.6	37222.3648875	9866.70028087
0	SPTAN1	1	475.5	630.6	39583.6499814	26406.568187599998
0	PRRC2B	1	475.5	630.6	5686.27151501	31044.9082514
0	EGFR	0	475.5	630.6	5603.69221774	37920.250389199995
0	PRRC2B	1	475.5	630.6	7723.76082995	21506.4704534
0	PAPPA	1	475.5	630.6	10596.19939359	19065.7743044
0	SPTBN1	1	475.5	630.6	13092.10204354	25009.0960053
0	FLNC	1	475.5	630.6	14064.3953454	23430.178657
0	FLNC	1	475.5	630.6	14916.23566715	7826.7814516
0	PAPPA	0	475.5	630.6	15823.69784891	22307.6761998
0	FLNC	0	475.5	630.6	17509.6949242	17267.687492099998
0	COL7A1	1	475.5	630.6	17388.9488975	26051.889579599996
0	TNRC6A	1	475.5	630.6	17341.0326396	39296.766192400006
0	SPTAN1	1	475.5	630.6	17593.3996328	6065.82642798
0	PLXNA1	1	475.5	630.6	19694.7785018	18179.213238099997
0	PAPPA	1	475.5	630.6	20158.9491067	25955.0454112
0	PAPPA	1	475.5	630.6	20961.3792303	28563.048957099996
0	PAPPA	1	475.5	630.6	21187.7266215	13280.03267959
0	ZC3H13	1	475.5	630.6	21901.3822004	4307.27320671
0	FLNC	1	475.5	630.6	23517.8840677	12911.3480371
0	SPTAN1	1	475.5	630.6	24224.3035366	16164.38925668
0	FLNC	0	475.5	630.6	26546.8492397	34733.0083954
