feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
CREBBP	1.5	6.0	4.5	5.25	9.0	9.75	9.75	8.25	7.5	6.0	8.25	12.75	10.5	3.75	9.75	5.25	5.25	4.5	3.75	6.0	8.25	19.5	6.75	9.75	3.75	9.0	16.5	4.5	9.0	8.25	4.5	12.0	7.5	6.75	13.5	9.75	13.5	4.5	12.75	5.25	9.0	6.0	3.75	10.5	5.25	13.5	6.0	7.5	5.25	9.0
DIEXF	0.0	2.25	3.0	3.0	0.75	4.5	0.0	0.75	3.0	0.75	3.75	6.75	0.75	2.25	0.75	0.0	0.75	1.5	0.75	0.75	0.75	0.75	0.0	1.5	0.0	0.75	0.0	0.75	0.0	4.5	0.75	1.5	1.5	2.25	0.75	1.5	0.0	0.0	2.25	0.75	0.0	0.75	0.0	0.0	0.75	3.75	4.5	2.25	2.25	2.25
DIP2B	1.5	2.25	6.0	0.0	2.25	7.5	4.5	1.5	0.75	5.25	2.25	8.25	3.75	3.75	3.0	4.5	1.5	2.25	0.0	0.0	4.5	9.0	1.5	2.25	0.0	3.0	2.25	0.0	0.0	2.25	0.75	7.5	1.5	0.0	3.75	0.75	1.5	1.5	1.5	4.5	0.0	4.5	0.75	4.5	2.25	3.0	0.75	3.75	2.25	0.75
DIP2C	4.5	6.0	0.75	2.25	8.25	1.5	6.0	16.5	2.25	1.5	1.5	12.0	2.25	5.25	9.75	2.25	12.75	3.75	2.25	5.25	7.5	19.5	9.0	9.0	4.5	6.0	9.0	6.0	3.75	12.75	6.0	9.0	12.75	9.0	7.5	15.75	12.75	7.5	12.0	7.5	6.0	9.75	4.5	19.5	4.5	9.75	1.5	2.25	12.75	4.5
DNAJC13	6.0	5.25	4.5	1.5	9.0	9.0	5.25	3.0	9.0	5.25	5.25	3.0	2.25	4.5	11.25	0.75	2.25	0.75	7.5	2.25	9.0	14.25	3.0	12.0	5.25	2.25	2.25	6.0	5.25	5.25	0.0	5.25	8.25	1.5	2.25	6.0	6.0	6.0	8.25	5.25	6.0	4.5	6.75	18.0	6.0	1.5	2.25	8.25	0.75	1.5
DOCK7	1.5	12.75	10.5	4.5	12.0	17.25	9.0	12.0	5.25	12.75	5.25	8.25	9.0	12.0	15.0	1.5	10.5	7.5	3.75	0.75	34.5	18.75	14.25	7.5	9.0	2.25	3.75	9.75	9.0	9.0	4.5	5.25	13.5	12.75	6.0	9.0	3.75	1.5	10.5	4.5	12.0	5.25	9.0	5.25	8.25	16.5	9.75	5.25	12.75	12.75
DOPEY1	1.5	0.0	0.75	1.5	2.25	6.0	3.0	3.75	2.25	4.5	0.75	0.0	0.0	0.0	2.25	0.75	0.0	2.25	0.0	0.0	6.0	1.5	0.75	4.5	0.75	0.75	2.25	1.5	0.0	2.25	0.0	1.5	1.5	1.5	0.75	10.5	0.75	0.0	4.5	0.75	0.0	0.75	0.0	2.25	0.75	4.5	0.75	0.75	0.0	0.0
DSEL	2.25	4.5	0.75	0.75	5.25	3.0	3.0	2.25	0.75	5.25	5.25	5.25	4.5	2.25	2.25	2.25	1.5	1.5	0.75	1.5	6.0	5.25	1.5	6.75	8.25	3.0	1.5	1.5	2.25	5.25	0.0	3.75	6.0	5.25	0.75	0.75	6.0	4.5	3.0	1.5	1.5	0.0	0.75	2.25	0.75	5.25	1.5	5.25	0.0	0.75
DYNC1H1	8.25	18.0	7.5	12.75	24.0	29.25	12.75	27.0	15.75	23.25	11.25	15.75	21.75	13.5	27.75	12.0	14.25	15.0	18.0	15.0	24.0	17.25	17.25	36.75	27.0	14.25	21.75	27.0	24.0	19.5	10.5	17.25	36.0	21.75	27.75	24.0	9.75	27.0	21.0	17.25	40.5	23.25	42.0	34.5	16.5	36.0	9.0	8.25	12.75	24.75
EGFR	5.25	34.5	5.25	9.0	12.0	9.0	1.5	3.75	13.5	4.5	6.0	16.5	6.0	5.25	12.75	12.75	10.5	2.25	9.75	5.25	12.0	15.75	6.0	17.25	10.5	0.75	12.0	8.25	6.75	18.0	6.0	33.0	21.75	8.25	6.0	14.25	10.5	2.25	45.0	10.5	17.25	2.25	3.75	17.25	6.0	30.75	6.0	12.0	9.75	6.75
FAM208B	2.25	6.75	4.5	2.25	0.75	4.5	8.25	4.5	3.0	5.25	6.75	12.0	4.5	2.25	2.25	1.5	2.25	1.5	8.25	1.5	3.75	12.0	1.5	6.0	2.25	4.5	12.75	0.0	4.5	4.5	4.5	4.5	2.25	2.25	3.0	12.75	6.0	0.0	4.5	3.75	0.75	0.0	0.0	6.0	0.75	6.0	7.5	0.75	8.25	6.0
FASN	3.0	6.0	5.25	1.5	5.25	3.0	1.5	5.25	2.25	3.75	2.25	3.0	0.75	2.25	5.25	0.0	0.75	6.75	0.75	0.0	1.5	1.5	0.0	6.0	0.75	0.0	9.0	1.5	0.75	0.0	2.25	2.25	5.25	2.25	0.0	4.5	3.0	0.75	0.0	1.5	0.0	1.5	0.75	2.25	1.5	9.0	0.75	3.75	1.5	1.5
FBN1	42.0	43.5	75.0	51.75	33.0	45.0	79.5	119.25	101.25	45.0	62.25	35.25	25.5	25.5	62.25	47.25	41.25	47.25	79.5	30.75	113.25	39.0	43.5	45.0	27.75	27.0	36.0	30.0	42.75	70.5	18.0	130.5	57.75	33.75	30.0	108.0	13.5	10.5	51.75	40.5	12.0	12.75	8.25	74.25	45.75	49.5	20.25	60.0	24.0	52.5
FBN2	91.5	82.5	83.25	75.75	60.75	77.25	102.0	77.25	225.0	202.5	20.25	32.25	29.25	48.75	210.0	71.25	136.5	35.25	168.0	93.0	90.75	58.5	114.75	6.75	54.0	54.0	15.75	8.25	21.0	155.25	62.25	84.75	60.0	35.25	54.75	39.75	42.75	19.5	66.0	24.0	40.5	7.5	4.5	254.25	147.0	123.75	18.0	208.5	54.75	159.75
FLNA	85.5	121.5	155.25	112.5	229.5	131.25	129.75	127.5	83.25	153.0	106.5	53.25	82.5	71.25	147.0	89.25	93.0	111.75	61.5	141.0	123.0	149.25	86.25	117.0	106.5	66.75	219.0	91.5	102.75	192.75	153.75	132.75	148.5	72.0	195.0	129.0	185.25	170.25	135.75	153.75	223.5	48.0	29.25	168.0	105.0	234.0	53.25	33.0	121.5	148.5
