feat	codeword	expressed
NUP155	1010110001010110	1
C11orf30	0101011001010110	1
TCOF1	1101000101010110	1
LARS2	0010101101010110	1
RIPK1	1000011101010110	1
blank004	0110100011010110	1
CEP250	1100010011010110	1
ZNF317	1001001011010110	1
LEMD3	0001010111010110	1
AGO1	0100001111010110	1
TIMELESS	0111100000110110	1
MORC2	1101010000110110	1
LIG4	0010111000110110	1
PIKFYVE	1010100100110110	1
MLLT11	0101001100110110	1
SETD2	0100011010110110	1
YTHDC2	1100000110110110	1
TECPR2	1110000001110110	1
HEXIM1	0100110001110110	1
USP24	0001101001110110	1
AGPS	0011000101110110	1
EEF2K	1000100011110110	1
WWC3	0010010011110110	1
ASPM	0111110000001110	1
RC3H1	1010110100001110	1
KIF13A	0101011100001110	1
NPR2	1011100010001110	1
CEP192	0110100110001110	1
NOL9	1100010110001110	1
SFXN5	1001001110001110	1
ARHGEF9	1110010001001110	1
SPRY4	1011001001001110	1
ULK2	0001111001001110	1
MTMR4	1001100101001110	1
CABIN1	0011010101001110	1
KREMEN1	0110001101001110	1
WDHD1	1000110011001110	1
TSPYL5	0000101111001110	1
USP38	1001110000101110	1
NRDE2	1100101000101110	1
PPRC1	0110011000101110	1
notarget002	1110000100101110	1
RCOR1	0100110100101110	1
ETV3	0001101100101110	1
TOX	0101100010101110	1
INTS1	1010001010101110	1
PARP14	0000111010101110	1
VAT1L	1000100110101110	1
MECOM	0010010110101110	1
IFT122	1010100001101110	1
SOCS4	0101001001101110	1
ZNF512B	1000001101101110	1
C12orf4	1100000011101110	1
PAPD7	0001000111101110	1
SLC35B4	0101101000011110	1
SIN3B	0111000100011110	1
TMEM57	1000101100011110	1
TBC1D8B	0010011100011110	1
LRRC58	1100100010011110	1
ZNF45	0110010010011110	1
FMNL2	0011001010011110	1
RAPGEF6	0001100110011110	1
FOXK1	0011100001011110	1
MYBBP1A	1001010001011110	1
PCMTD2	1100001001011110	1
ITSN2	0100010101011110	1
RPAP1	0001001101011110	1
FTSJD2	0101000011011110	1
SCAF8	0000011011011110	1
FAM53C	1000000111011110	1
UBR3	0001011000111110	1
KIAA0355	1001000100111110	1
ZNF25	0010100010111110	1
HIRA	1000010010111110	1
ARHGEF11	0000001110111110	1
SKIV2L	0010001001111110	1
NRIP3	0000100101111110	1
RNMT	1111011010000001	1
TMEM110	1101110110000001	1
RAB22A	1111110001000001	1
WDFY2	0111101101000001	1
DENND4C	1101011101000001	1
STK10	0110111011000001	1
SV2A	1110100111000001	1
SPRED2	0111111000100001	1
ABCC10	1111100100100001	1
RAI1	1010111100100001	1
MLLT4	1110110010100001	1
MICAL1	1011101010100001	1
UBE4B	0011110110100001	1
USP20	0110101110100001	1
NACC2	1100011110100001	1
DGKZP1	1110011001100001	1
PEX1	1100110101100001	1
CASC7	1001101101100001	1
ARHGAP29	0011011101100001	1
blank005	1101100011100001	1
ZNFX1	0111010011100001	1
VASH1	1000111011100001	1
FAM179B	1010010111100001	1
SOGA1	1110111000010001	1
HMGXB3	0011111100010001	1
ATR	0111110010010001	1
PDCD11	1010110110010001	1
TEX2	0101011110010001	1
CIC	1101101001010001	1
CAD	0111011001010001	1
GDF11	1111000101010001	1
CLN5	0101110101010001	1
CBL	1010011101010001	1
SMO	1110010011010001	1
TPCN1	1011001011010001	1
LRIF1	0001111011010001	1
RPRD1B	1001100111010001	1
C20orf194	0011010111010001	1
